id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
1923351,2,maven,https://github.com/xebia-france/xke-akka,xebia-france/xke-akka,9fd38a43b2cfd0476a7fd14c98eda9a3cbe2775c,338,1
1085033,3,gradle,https://github.com/luciano-fiandesio/akka-java-playground,luciano-fiandesio/akka-java-playground,f443105067218a96519fcdcbee9370979bcac443,264,3
9923347,2,maven,https://github.com/henri-tremblay/parallel-lab,henri-tremblay/parallel-lab,aa7fa02bf53b5f2c55f7a506f66f96cef5604f50,301,1
12760133,1,,https://github.com/Zanfra/Reminiscence,Zanfra/Reminiscence,2805698aa3eb4125837f5f56cbe6df267e045d88,43,0
13030785,1,maven,https://github.com/KetothXupack/akka,KetothXupack/akka,f7eb06e526567c1c82dd866219af68843a7f8db5,117,0
8475061,6,,https://github.com/timurbazhirov/kaban,timurbazhirov/kaban,be62a1048e24b3d2160787e239440db7d2dd7d02,298,-1
10427089,12,,https://github.com/tmarthal/vector_health,tmarthal/vector_health,bff50940edd0d3c24f3a5148f2597df21a4b576e,596,2
10021285,15,,https://github.com/chanan/AwsConsole,chanan/AwsConsole,160f0d402814f9ddf2b96a4d4e2ee7c8e9bc477c,1056,6
10419484,1,maven|eclipse,https://github.com/sortednet/akka,sortednet/akka,90635746a0bb9ccbd7c79e29b129b4ec40297b0b,73,0
12357545,1,,https://github.com/ruimo/play-2.1.3-for-functional-store,ruimo/play-2.1.3-for-functional-store,614aa8051cddc85ba50a5cf77e5272b36c754bed,43,0
11321492,7,maven,https://github.com/markash/margin,markash/margin,056cbcc2b80e9dc33e4b8040f5b4082a3f8d5372,271,0
10740250,6,,https://github.com/AnderPijoan/umappin,AnderPijoan/umappin,fe82cb7f5020535120593df508ce619df29b9730,298,2
4561277,1,maven,https://github.com/engagelab/scinfrastructure,engagelab/scinfrastructure,e2facdf710c0ca42e12a330a39170f930876a761,47,1
5992177,2,maven,https://github.com/emacadie/akka-tutorial,emacadie/akka-tutorial,96cd09791c2b6976c44a7c634327b4b1f30c4a7a,235,2
8295685,8,maven,https://github.com/ThoughtForge/ricochet,ThoughtForge/ricochet,c0175081d9d696928f13cc1effcfcb2ad0cfbad9,696,1
13505778,1,eclipse,https://github.com/sushantdewan123/akka-samples,sushantdewan123/akka-samples,31121137257441721f5b191e5905351aed883f28,106,0
11137354,2,sbt,https://github.com/zouyanjian/akka-java-spring,zouyanjian/akka-java-spring,8859f487dc1d31421ec24acd7042aa423221ba28,175,-1
7822082,35,maven,https://github.com/Morro/GraphDBBenchmark,Morro/GraphDBBenchmark,1fbdc07e4138e68fdbfa8f363d959fa97dd4a9f1,7442,-1
