id,numberOfASTs,revisionCommit,projectNames,buildTools,projectUrls,stars,numberOfRefs
9885648,520,5a87a7ff1f8ff18b925b44f276a43739775ff768,CloudifySource/cosmo-messaging,maven,https://github.com/CloudifySource/cosmo-messaging,-1,10
9262729,5818,92a6a681ea4efad5e508dc5a80cb259d24c3746c,basilgor/gerrit,eclipse|maven,https://github.com/basilgor/gerrit,0,2
12794630,1513,49f945e3e1dd9dabd816dbfb344bf1415587e865,apivovarov/apache-hive,ant|eclipse|maven,https://github.com/apivovarov/apache-hive,-1,5
10719555,772,4af377c266b83e04a811fd3bf983bd3935441abb,humbhenri/MangaReader,idea|maven,https://github.com/humbhenri/MangaReader,-1,2
4178952,104,5773bdb70cfbe43a3b95b29096d6b7c7864cd7a2,lukecampbell/rpctesting,maven,https://github.com/lukecampbell/rpctesting,1,2
5116196,8389,c793aa9141bf18a8ad13123cbbe4e16e6e6e2442,pauljohnson75/android_external_guava,maven,https://github.com/pauljohnson75/android_external_guava,1,22
9056142,1163,4354a2614e8be514018bae4453dc2441d026cb6d,puniverse/quasar,gradle,https://github.com/puniverse/quasar,2638,14
6802154,709,5627f9031d39dcfde547b6744c51e2451ce651d8,fredrikbackstrom/workerwizard,maven|eclipse,https://github.com/fredrikbackstrom/workerwizard,1,10
10040960,74666,b93cfa42e1498c65d452765b97fd9237d6884ed4,jclouds/jclouds,maven|ant|eclipse,https://github.com/jclouds/jclouds,313,2797
7676364,416,5e49d5f940f9dbd2538fb890f0cc6697068c74ac,forcedotcom/phoenix,eclipse|ant|maven,https://github.com/forcedotcom/phoenix,546,6
7488565,299,d20d3482ae2b40e35d124d6146368687e0d1498d,jbcazaux/guavafun,maven,https://github.com/jbcazaux/guavafun,0,4
8827671,158,06b7b4abe0b94c286ac00cd989d36dd141dee8ed,Softhouse/jargo,maven,https://github.com/Softhouse/jargo,12,4
12769575,396,a4d589a6f330365fe7e6f053d9c976bbc42a1651,lneves/javardices,eclipse|ant|maven,https://github.com/lneves/javardices,2,3
3885791,688,6e36129b0642766b6a55b94d8a4984650a4d0f6f,hhulwath/sandbox,maven,https://github.com/hhulwath/sandbox,1,4
12020642,8919,1ae95d016c9abb7dddc1af3974e271b79ff3b8d4,rouzwawi/trickle,maven,https://github.com/rouzwawi/trickle,0,240
921110,1935,c874ad2fb60b6d989fcb456b2b6c52aebef8974f,jclouds/legacy-jclouds-chef,maven,https://github.com/jclouds/legacy-jclouds-chef,31,124
9630006,389,1f69396f375626f944b638477d20c0eab73c69c9,lauraluiz/ecommhack,,https://github.com/lauraluiz/ecommhack,0,2
8589839,219,79fc555049544581501bdd9e0a22f39575bc22d7,oliver32767/MonkeyBoard,ant,https://github.com/oliver32767/MonkeyBoard,0,3
13712248,17957,f83bd3a20f06dd9b3ab788f8ae8f661555ba49c8,gaohao/guava-libraries,ant|maven,https://github.com/gaohao/guava-libraries,-1,35
2949690,625,4c43e8d9edfa37225d050820723c32605ad78770,mateuszszulc/IntelliDict,idea|maven,https://github.com/mateuszszulc/IntelliDict,2,2
3723048,533,f8b49ff0c9a013d7ebff5bd0aad8ddd9bd82e7bd,ghais/rice-java-client,maven,https://github.com/ghais/rice-java-client,1,4
4484894,3267,801162bc54c5f1d5744a28a2844b24289d9495d7,jclawson/hazeltask,maven|eclipse,https://github.com/jclawson/hazeltask,37,14
7502247,609,0a15b13e7ec6752b1adb5b063a7cc6f3e6852bad,codefollower/Lealone,maven|ant,https://github.com/codefollower/Lealone,792,4
3777940,16702,a2468a734875d32b1ff836ab23981bb14e6a3a11,blockchain/My-Wallet-Android,maven|android|ant|idea,https://github.com/blockchain/My-Wallet-Android,-1,21
4549018,78,a2da287b4e79a7cce7fda6768178b8d9a4d084a8,sdslnmd/learn,maven|idea,https://github.com/sdslnmd/learn,1,1
9383144,14411,f1845dd55253a9a605e27185549248a9c0059ed1,imsaguy/bitcoinj,ant|maven,https://github.com/imsaguy/bitcoinj,0,19
748396,542,0db3dd523f99c92e0a2aa6a46999772cb51204bb,banshee/AndroidProguardScala,eclipse|sbt|ant|maven,https://github.com/banshee/AndroidProguardScala,145,2
7341134,12835,77e10735c9d7ed7aabff29e6fee1f93d8b01ea84,itm/decentsparql,maven|eclipse,https://github.com/itm/decentsparql,1,242
6076697,539,247cf534ab0095d2eeb0c00fe5b67e0a48745fdf,steveloughran/whirr,ant|maven,https://github.com/steveloughran/whirr,5,1
10562844,17243,8906125d47280902d9580599abc1a169627d5fa4,ttron/lab,eclipse|maven|ant|android|gradle|sbt|idea,https://github.com/ttron/lab,-1,385
12540844,1257,ea945899981276f3c280a190c4df40642d983686,igd-geo/hale,maven|eclipse|ant|gradle,https://github.com/igd-geo/hale,16,6
9948499,2574,b7f2e1f90c3b2f13890a7a84c0b7aa02f70c1db7,dclements/makrut,gradle,https://github.com/dclements/makrut,0,31
12604292,1726,1e73f1deb7d090748515eb8ab07caa4cc706834e,justinsb/jetcd,maven,https://github.com/justinsb/jetcd,120,10
6863597,3010,4a651798774a53bd1b3edb1062809f993230ffff,Cybion-Italy/abdera2,maven|ant,https://github.com/Cybion-Italy/abdera2,0,2
13695120,124,518b09da0245cbbb0e64591d7bb2351eff4a128d,libin/s3distcp,maven,https://github.com/libin/s3distcp,11,1
6662274,672,abc4fc5279a7bd63b3c9c7493e86c6f54a713338,scventuresllc/swiftopencollab-android,maven|android,https://github.com/scventuresllc/swiftopencollab-android,0,3
13750737,723,91eac51d8b827387ce2cd8034719024e572f8418,cyberaleks/XClouds,maven,https://github.com/cyberaleks/XClouds,0,48
12839537,4997,867daed6bc9433cbc7da13cdc6598ff0e8b79630,TarantulaTechnology/netflixoss,gradle|maven|android,https://github.com/TarantulaTechnology/netflixoss,1,24
11361430,8778,7c78b61e921cee2e1a2dfea714f262d7312812d7,dreamevil/chromiumforandroid,eclipse|android,https://github.com/dreamevil/chromiumforandroid,0,9
1475406,2113,988e5e8555cf337dbb7c16d2dadc7b446bf1ecef,dain/galaxy-server,maven,https://github.com/dain/galaxy-server,18,3
6734458,365,7e58ed04cd1bc6f8b2d8bcfa9f2ff99c7853cf15,kstyrc/dri-service,maven,https://github.com/kstyrc/dri-service,0,2
11037560,403,1f279e661c9b106db6e00ac51e189ae40de07344,m477h3w1012/CyniChat,eclipse|maven,https://github.com/m477h3w1012/CyniChat,0,2
8073568,105,a459e99c3fc68d02eec92f17b6d05c79dd322ed3,Hitta/config-utils,maven,https://github.com/Hitta/config-utils,0,1
1187243,28084,1339549faf23d6b55648e345df66063b41ab454c,DarkSlayerz/ProjectBeneluxServer,,https://github.com/DarkSlayerz/ProjectBeneluxServer,1,2
8408260,166,fed188696e4ea8f1064738a52530d16c5ae0a49c,samcday/bincrawl,maven,https://github.com/samcday/bincrawl,1,2
8095639,462,2985a8c35b25917b02f83c2ce0d0fd3b9b42de2f,Pseudo-Ingenieurs/Repo-1,maven,https://github.com/Pseudo-Ingenieurs/Repo-1,0,5
6972004,305,9d826f725e49893e229a8f576a072e8777739284,dancerjohn/LibEx,maven,https://github.com/dancerjohn/LibEx,6,13
9264560,1917,c8e2a2da5a6c09244f6ada80fa380c9ac51d95bf,airlift/airlift-rack,maven,https://github.com/airlift/airlift-rack,3,14
8559105,612,c4bcfb1d8e459949855184c352e8667892102f6b,Citytechinc/osgi-service-monitor,maven,https://github.com/Citytechinc/osgi-service-monitor,0,1
4728258,138,3abe63370ebad8ac6aa4ebb3eea5ba50dc4df65f,fpavageau/futures-graph-sample,maven,https://github.com/fpavageau/futures-graph-sample,0,6
9187110,6687,7fbde4b598f4fffd7e71d27f28f0e641897236cd,mubeenh/wave,ant,https://github.com/mubeenh/wave,0,31
13353910,971,0ead66a6710940abfe67322c7df244f819f152fc,pgorla/usergrid,maven,https://github.com/pgorla/usergrid,0,5
8822093,30941,b6b063e6a890e78c91e0c0897330a3e191147980,continuuity/weave,gradle|maven,https://github.com/continuuity/weave,-1,174
13558261,247,ea93134b20e92e640b7edd9104e51b75a22b718b,spotify/sparkey-java,maven,https://github.com/spotify/sparkey-java,65,2
8954366,183,b820cb88f28123ec4c217b832730567eb3960453,Ordre-des-peons/QuizzRestlet,maven,https://github.com/Ordre-des-peons/QuizzRestlet,0,3
11652003,637,7b3d98b67992db9aa8331b348fd98c7d7e2a76f2,tildeio/moneta,maven,https://github.com/tildeio/moneta,0,7
5527182,16556,55e9d365de43c97921e854c3bf5390089873d72e,nitroglycerine33/platform_external_guava,maven|eclipse,https://github.com/nitroglycerine33/platform_external_guava,0,28
3873073,4726,ef0253b92d593a02c64d1aaf7a2fe9ef49249512,somehume/wavefu,ant|eclipse,https://github.com/somehume/wavefu,1,18
9924893,3486,a3fd42255ea446ad6bdfb5d936339df72412da28,dustyneuron/bitprivacy,eclipse|maven,https://github.com/dustyneuron/bitprivacy,4,5
206444,1542,6e65c2069df249b02954c64f63c9e679477a131e,apache/hive,ant|eclipse|maven,https://github.com/apache/hive,1397,5
7644397,1165,315e6502697d7992e071880379bdb4617085eaae,ghik/sg-swift,eclipse|maven,https://github.com/ghik/sg-swift,0,2
13173595,186,3494aad5c1605b35606034b6409020bf3811d408,nickman/jboss7Sample,eclipse|maven,https://github.com/nickman/jboss7Sample,1,4
9086315,8771,64216e66336a5fc64075e6ec68c64a5632173d39,INLHELL/setvers,maven|eclipse,https://github.com/INLHELL/setvers,0,9
