id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
7640143,2,maven,https://github.com/biubiu/Test,biubiu/Test,fd04a3bde56cb794198536bd4960bb33038d09f6,1083,0
1331579,3,maven,https://github.com/cakeframework/cake,cakeframework/cake,bb3c480a537639601dd7603d180de02a88cef89f,6903,1
9923347,2,maven,https://github.com/henri-tremblay/parallel-lab,henri-tremblay/parallel-lab,aa7fa02bf53b5f2c55f7a506f66f96cef5604f50,582,1
9056142,1,gradle,https://github.com/puniverse/quasar,puniverse/quasar,4354a2614e8be514018bae4453dc2441d026cb6d,857,2647
8474950,2,maven|idea,https://github.com/skesper/jfract,skesper/jfract,6298c428adae54b1b5b1f12275f6f203efeeb17c,283,0
6648708,1,maven,https://github.com/pveentjer/brooklyn-hazelcast-actors,pveentjer/brooklyn-hazelcast-actors,50b4eb52088091e148bb21501fd396cfa7c2a04e,254,2
11275742,4,eclipse,https://github.com/HemantKGupta/Threads,HemantKGupta/Threads,d12d6041e78dcfed9d481f200f460f8193b9761f,110,1
6768104,10,eclipse,https://github.com/accso/fork-join-demo,accso/fork-join-demo,e7821ccdc13c137ad5123bbce8a00ba472d5c70f,299,0
10723214,1,ant,https://github.com/blaraka/MCO_Java_Library,blaraka/MCO_Java_Library,d8c6f5594a47558acdb6c882c14ac9e3ec6f9a86,218,1
9075777,1,,https://github.com/abissell/java-sandbox,abissell/java-sandbox,0566a6aae9451b1e6b3b17d99b265559768dff11,205,0
11875460,1,eclipse|maven,https://github.com/yangqiju/MySpace,yangqiju/MySpace,7fd453bc772f6cb60a15bbff520549d5b10bc056,207,0
6700084,3,sbt|gradle,https://github.com/russel/Pi_Quadrature,russel/Pi_Quadrature,0696687ccb01cac228fb21cd187f8c3cc79a970d,608,24
5425173,3,maven,https://github.com/gillbates/ag,gillbates/ag,720a60d86573a7bc97e69c2bf94b723a17f9e3d2,1230,0
1855094,1,ant,https://github.com/headius/forkjoin.rb,headius/forkjoin.rb,633cb4b3f8a40a967840f9a6cb8fe993c244b378,110,18
1953068,21,eclipse|maven,https://github.com/thomasjungblut/thomasjungblut-common,thomasjungblut/thomasjungblut-common,ff40323b268d6359ab6fbbede0e404638531531c,1050,69
7839604,6,sbt|gradle,https://github.com/russel/SleepingBarber,russel/SleepingBarber,b8f38fa28a24b5db526798559bef6992c8629f14,1464,0
11736116,2,maven,https://github.com/jiangchao1987/pokr,jiangchao1987/pokr,4ac91fc9696d9a1474370405ca09923be335a99d,552,1
11869495,1,ant,https://github.com/edalorzo/jdk8-experiments,edalorzo/jdk8-experiments,e3393780900a70c355c7a41852e8b395e7abc1d2,192,0
3688779,1,,https://github.com/phaniram/solutions,phaniram/solutions,e83a0ba946a386851207463801793a1f6a9e1216,364,6
7559546,2,maven,https://github.com/marschall/fork-join-junit-extensions,marschall/fork-join-junit-extensions,9908575af5843797d5c084c221c092f2eb357951,96,0
6367130,1,ant,https://github.com/nikulinn/Joomlasite,nikulinn/Joomlasite,ff7ec716015559dda0cf6a519e49f6a117dde967,207,0
10317474,3,eclipse,https://github.com/zhangyangsheng/dailyCode,zhangyangsheng/dailyCode,e0cbfd04d04935bce1f6cd1343559efcdabf66d8,399,0
13700901,1,eclipse,https://github.com/javiosyc/CustomizingConcurrencyClasses,javiosyc/CustomizingConcurrencyClasses,6e92f9344c0d65acc0b3f29e902997681b922e0a,69,0
6223537,1,maven,https://github.com/peschlowp/ForkJoin,peschlowp/ForkJoin,5bf7a72a3aedf21ad65e029caec9f6f20dabcbd4,34,20
4951563,3,eclipse|maven,https://github.com/chamborghini/x4java,chamborghini/x4java,8b6db4fa00d20469d2fb6070281007d1ccc20898,41,0
4604367,2,maven,https://github.com/sirixdb/sirix,sirixdb/sirix,8b67aee5ff0857083b3e6ae784af212ffc8edebb,4813,45
4678495,4,ant|maven|gradle,https://github.com/nipra/Jafun,nipra/Jafun,2993554f2471f8b75fca4430e3ddb6de2d7da4aa,110,5
1270157,49,maven|eclipse|ant,https://github.com/axel22/scala-mirror,axel22/scala-mirror,f930cfe24225bc10bd92ad3ed7faafd8d5171198,5813,1
12204985,1,maven,https://github.com/proper337/algs4,proper337/algs4,b830a40313262ae9e8decc876070466da818ada1,42,0
1581428,1,maven,https://github.com/pmbauer/parallel,pmbauer/parallel,0b934c0b3e56b19d17eda5a1d0662fee291bfd6d,118,5
9071777,35,idea|gradle|maven,https://github.com/dongaihua/highlight-elasticsearch,dongaihua/highlight-elasticsearch,be9fba6f9e194f9d09bf29385d33db549b050e53,4041,0
8808742,100,ant|eclipse,https://github.com/bocchino/DPJ-UR,bocchino/DPJ-UR,4042adccb8fd45809d40c93053f5895f78d8d0d0,10343,0
2565575,3,eclipse|maven,https://github.com/lowasser/LUScheduling,lowasser/LUScheduling,55cff59da328c5672874305518209cb66a947de8,626,7
7103887,2,,https://github.com/yafengli/sporm,yafengli/sporm,79c2baedecbd5c038fb264aa4a4673594b017b7c,367,0
2595701,1,ant,https://github.com/Morriar/ProxyJDK,Morriar/ProxyJDK,d79661361c323537953403799d0f04ba3ce45a23,207,1
1676983,24,sbt,https://github.com/aturon/ChemistrySet,aturon/ChemistrySet,30b19a2a169e1fa1d266aa01afec158166720e61,8176,37
8845501,3,,https://github.com/gaopengxiang417/java7concurrentcookbook,gaopengxiang417/java7concurrentcookbook,5702a4b3b47b6bc3691f8532d17a20e8ecab690d,41,1
12650070,1,ant,https://github.com/axDev-JDK/jdk,axDev-JDK/jdk,778166955928f5fd3150a02fe7942feeb58c9402,207,0
13014213,1,,https://github.com/BagosGiAr/nexus,BagosGiAr/nexus,884510cb2af8ed4c66294d67e06d027087604358,528,1
11453231,2,ant,https://github.com/uditrugman/openjdk8-jdk,uditrugman/openjdk8-jdk,6f9916af7e068116ce2146646b24f22fe4644d8b,8840,-1
8669456,3,gradle|maven,https://github.com/goodplayer/turismo_plus,goodplayer/turismo_plus,548000e23e9f8e8f87eb9cbb4d24a7943ee1013b,98,1
1347222,35,maven|eclipse|ant|sbt,https://github.com/axel22/scala-old-mirror,axel22/scala-old-mirror,433a344c043a10e97d49d363bb1310c0b636c2af,2796,4
8980647,2,maven,https://github.com/kojavaee/java-learn-code,kojavaee/java-learn-code,6f7455428069a92a204f912f0bd784489fbef0b1,130,1
10261045,1,eclipse,https://github.com/colljos/experimental,colljos/experimental,40dc57e520103e2a4a3e6dd916b837f99e515cdb,136,0
10613094,91,android|ant,https://github.com/codefireXperiment/libcore,codefireXperiment/libcore,da7095620241b51071f9aa198f4ba385a2c8be99,10379,-1
11048700,1,maven,https://github.com/mpakhomov/dbpsort,mpakhomov/dbpsort,f626dafccd6d10a6b558700462cb0b34336b5640,197,-1
4198608,4,eclipse|maven,https://github.com/matlach/atinject,matlach/atinject,0f8f7770a08da0198ad5afa021fe69ba398b7764,224,10
6862073,2,maven|eclipse,https://github.com/1d7500/trunk,1d7500/trunk,41378b7d9ab6d12b5bccbf248df4330dbd1296c8,239,3
13307539,2,eclipse,https://github.com/marcdejonge/ProjectEuler,marcdejonge/ProjectEuler,53b973d358a9f412730c2ae3e25ef33127d20a76,1115,0
5563746,2,maven,https://github.com/city81/InterpolationService,city81/InterpolationService,3265d192df4958241c1e01e9c0668270cab0b822,460,0
1422669,1,maven,https://github.com/jthoenes/jdk7-demo,jthoenes/jdk7-demo,ddc35553f6976583e9884d73d4ff1ffcaba144e7,106,1
3041887,12,ant|eclipse|idea|maven,https://github.com/goldmansachs/gs-collections,goldmansachs/gs-collections,4e597130fbe4e6f9d745a8d5348c77c45e9341d8,1133,1672
12054508,1,,https://github.com/gaopengxiang417/concurrentprogrammingonjvm,gaopengxiang417/concurrentprogrammingonjvm,8002dd69775ee4c184326de93d99bb7ad0874428,133,0
13120103,1,maven,https://github.com/tjayr/java8-snippets,tjayr/java8-snippets,3f83013f5b0442b2f779c82f4bc280850bdefbf2,97,1
4692172,1,maven,https://github.com/shipilev/java-forkjoin-trace,shipilev/java-forkjoin-trace,cdceb02585d491cde1fc65073296272190aed440,1360,-1
12677795,35,idea|gradle|maven,https://github.com/ubi-city/yolo,ubi-city/yolo,a2414938bbb571c1c7e3eeec16d57b64319116ad,4041,-1
7581314,2,maven,https://github.com/marschall/punch,marschall/punch,90951733c4f51299b38859786b54d5e438a4fd47,47,1
9144104,1,maven|eclipse,https://github.com/pveentjer/hazelcast-actors,pveentjer/hazelcast-actors,643503d4169827a5f01dd442a335bf03e8100794,254,7
12990494,1,ant,https://github.com/synergydev/prebuilts_jdk_linux-x86-64_openjdk-8,synergydev/prebuilts_jdk_linux-x86-64_openjdk-8,88f0c1d2a8cd48465277c62f413cd9f0ffbeda6f,207,0
4420498,1,eclipse,https://github.com/srinath4ever/JavaTest,srinath4ever/JavaTest,7fb1a66a6e374c05da4e51f56a5001062b7b9ab7,207,1
2360440,1,ant,https://github.com/ikeji/openjdk7-jdk,ikeji/openjdk7-jdk,b7f8475e59c00c81ede4916900267644686ddf2e,207,1
12618675,1,ant,https://github.com/caplin/qa-browsers,caplin/qa-browsers,d704a8ee54bdfd90a7d9908547bc31c5f3103534,207,0
12746792,1,eclipse,https://github.com/nivance/Java7Demos,nivance/Java7Demos,d33eb392093767158588540946e8074fe5564ae8,207,0
2517870,1,idea|maven,https://github.com/dkandalov/katas,dkandalov/katas,d34537b720b69c863397a7c75969612ff5a35e12,138,3
2980106,3,maven,https://github.com/johnvanweel/AI,johnvanweel/AI,8e50f4ba2fc5c075b9575df939cd5c8c52193165,251,1
1927913,2,ant,https://github.com/Helbrass/openjdk-fontfix,Helbrass/openjdk-fontfix,3138931c4ed5a0b9be44802985e987393eb154a0,414,38
11734960,2,maven,https://github.com/ianj-als/corpus,ianj-als/corpus,1641d263d9741b3b6f3cfda156c6f6bb037ff562,244,0
5669818,2,maven,https://github.com/renedescartes/sandbox,renedescartes/sandbox,15f0fb80ff97028405d9b91e052e198666e002ce,424,0
11552049,1,ant,https://github.com/awh/openjdk7,awh/openjdk7,3219421d4caa28991c1102bbcec18356ee006e4b,207,0
3720222,4,maven,https://github.com/MarvinToll/SOAj_2.3,MarvinToll/SOAj_2.3,859280a844947dc60484747b41e4fb310ad72e7a,1825,-1
5638808,1,ant,https://github.com/IgorRodriguez/Tests,IgorRodriguez/Tests,b4748da627e0b74ddfee7dc7a9b54b36a4684fbc,148,-1
12086488,4,eclipse|ant,https://github.com/proper337/java_conc_cb,proper337/java_conc_cb,fc2d9cfff7da0091543e0a058473a09091ed7754,110,0
9203732,4,eclipse,https://github.com/homar/javaConcurrency,homar/javaConcurrency,71b783722100422ceebdf2b4e7282b6ef361b827,107,0
7439758,2,eclipse,https://github.com/damonx/CodeExamples,damonx/CodeExamples,35a2a41e7ccb1d1611d7ca7d5ee8d54c8b89909a,165,0
9813937,4,gradle|maven,https://github.com/emacadie/java-concurrency,emacadie/java-concurrency,94cf4f831045e40d3d90b2650fa50ca75b39ac70,426,1
11792518,3,,https://github.com/moutai/javaconcurrencycookbook,moutai/javaconcurrencycookbook,bd04147efbdd50f3c30dcb7099032c076fb09f0d,41,0
8848102,4,ant|eclipse,https://github.com/yecllsl/LearnJava7ConcurrencyCook,yecllsl/LearnJava7ConcurrencyCook,8e725d88be13232ed3453f25484d49389b823503,110,0
7787833,1,eclipse,https://github.com/suigara/JavaDemoCode,suigara/JavaDemoCode,3543b16ac942349c78f93be7b9cd4b7d3e693083,331,0
9113078,12,eclipse|maven|ant,https://github.com/michaelcouck/ikube,michaelcouck/ikube,dd1012649bb68ee739ca2096e6e051b2d6300abc,2325,2
5526053,4,maven,https://github.com/statsbiblioteket/doms-transformers,statsbiblioteket/doms-transformers,800563f11d8deaf44c0bc3d25da193717b940c5b,545,0
8465130,1,,https://github.com/dbpieter/Pidblib,dbpieter/Pidblib,270f50014a3e35d5cd4a5c5472db5d151d3652dd,323,0
3849309,1,gradle,https://github.com/AlmostIntelligent/Hydra,AlmostIntelligent/Hydra,049f7ab45295c687870eed2fdec38831599e5c58,239,4
507775,35,idea|gradle|maven,https://github.com/elasticsearch/elasticsearch,elasticsearch/elasticsearch,da938a659d3f5459167ea7f39eade00e004b66b4,4041,23571
5465591,1,maven,https://github.com/feuyeux/airfactory,feuyeux/airfactory,99ab18e72236f736a3d039ff93713c91ca707294,207,0
4608440,1,eclipse,https://github.com/moguonyanko/moglabo,moguonyanko/moglabo,2fc870b6d17a2a3a7505fbea6e57e6c1665e6469,276,0
9451506,5,eclipse|ant|maven,https://github.com/Caleydo/caleydo,Caleydo/caleydo,267dff2672d73e4a2d527610aafd62803e9c8652,2134,48
1262763,1,ant,https://github.com/adovzh/VarJTest,adovzh/VarJTest,d61daaa0dc99761767060733ef5ff39bb354c426,91,1
9344164,1,maven,https://github.com/redbatz/Java8,redbatz/Java8,ddd010e95dfa7826bc85a773b6d509edb6c58087,173,-1
8328088,1,eclipse|maven|gradle,https://github.com/abhijitsarkar/java,abhijitsarkar/java,4aa527ad9e60853b7366e79ff98a57910ff6b212,232,1
12238914,1,maven,https://github.com/igvel/JavaStudy,igvel/JavaStudy,49751c73053486b05e7196b865570da293e932a9,133,2
1870587,1,,https://github.com/brtzsnr/sorting,brtzsnr/sorting,378fdc1492d325c6334ee374d7980e9107fe1f4c,238,1
337278,137,ant|maven|android|eclipse|sbt,https://github.com/dragos/scala-before-git,dragos/scala-before-git,f6b7f82ba998e9d0d3213aba7ca926d8bb5e972a,15853,1
12200776,1,ant,https://github.com/alexkasko/openjdk-icedtea7,alexkasko/openjdk-icedtea7,33243f5789dacaa1591b6446c380c77d4bae3bf1,207,3
8977820,1,maven,https://github.com/toby1984/jAcer,toby1984/jAcer,64a3472bace33e72bea1e6e60e7431c42d9cb3e7,517,0
9870865,2,maven|idea|gradle|ant|android,https://github.com/feuyeux/quiland,feuyeux/quiland,9698cd328edc9ca1c374fe3275b91dfe6e8f3567,426,2
