id,numberOfASTs,revisionCommit,projectNames,buildTools,projectUrls,stars,numberOfRefs
12542247,572,b4e75c597526fd15241a19c4dc1bd2cb3505a662,perfectpei/MSSP,eclipse,https://github.com/perfectpei/MSSP,-1,7
7588908,831,ccf749cfd29b8449b01e48772b5707975f95fed4,whogiawho/original,eclipse|android|ant,https://github.com/whogiawho/original,1,3
9882113,731,330c7da925d4a476057f71c66114f6d2232f4b1f,Zhangzhiyi/Android,android|ant|idea,https://github.com/Zhangzhiyi/Android,4,9
1611505,1293,980807badb8000e5c134e8d66a3a853e2c4e2d49,pfn/zmtray-java,ant,https://github.com/pfn/zmtray-java,2,1
9545832,335,a6bf121df036890d17713801d17e02b435b27526,aivgit/de.aivengo.git.vobla,maven|eclipse,https://github.com/aivgit/de.aivengo.git.vobla,-1,1
10215396,1891,641a8358cd0eb371d7ef50d95117928158393146,crissii/water-esb-new,maven|idea,https://github.com/crissii/water-esb-new,0,2
9305423,451,4d14a59cb15df0ded9348e3bcca1c5955e9250ec,rduerig/StrategyBDD,eclipse|maven,https://github.com/rduerig/StrategyBDD,1,1
12244578,79,7e129a455ef0000017154dab3539c0df714c03e7,lionel126/Exercise,eclipse,https://github.com/lionel126/Exercise,-1,1
7354379,21142,689c64e2329b4a414d501f33d2f6035319708e6f,XYAOSP/libcore,android|ant,https://github.com/XYAOSP/libcore,-1,94
3535636,639,decee1c011789230f27590ad8bb70572553ff0da,Gasol/ConcurrencyExam,gradle,https://github.com/Gasol/ConcurrencyExam,1,2
11816247,5127,968b758c2386547b145988591e12a58d978525a5,zyslovely/Lovers_Web,ant|eclipse,https://github.com/zyslovely/Lovers_Web,0,14
11454398,2048,e61da1bd602fa613926028e9379d9a0da318e105,calmitdev/common,eclipse|maven|ant,https://github.com/calmitdev/common,0,25
12208935,185,a26efa52d948b5bc88af0bc2d47b0b7a1789ff19,hardik-trivedi/VolleyExample,android,https://github.com/hardik-trivedi/VolleyExample,4,1
5925560,1349,2d8cbfe6bc2d8ff2fcd7a0bf432cc808d842da4a,JesusFreke/smali,maven|gradle,https://github.com/JesusFreke/smali,1894,2
13028728,266,6574fceb277a71754d4dabd98bdceb70b47ce007,dilzio/rippinhttp,gradle,https://github.com/dilzio/rippinhttp,0,3
11023461,6039,89cf06dc72e5e009fd7497b87346e339243f03d5,corndolly/hive,ant|maven|eclipse,https://github.com/corndolly/hive,0,4
2930379,1789,244ea4c61a635507f4cc1ce3c7f3cff61509ce91,OpenIAM/openiam-idm-ce,eclipse|maven|ant|idea,https://github.com/OpenIAM/openiam-idm-ce,-1,2
