id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
9670804,3,maven|eclipse,https://github.com/atmark0204/sandbox,atmark0204/sandbox,55d90d49b965255537bd69afed8d2a6c08c0ad73,715,0
9771908,2,gradle,https://github.com/IMAGINARY/SURFER2,IMAGINARY/SURFER2,f6fc27e398afeef95700bc7b86d0036d6302205c,746,0
11064795,3,ant,https://github.com/wetechies/JavaFX-progress-indicator,wetechies/JavaFX-progress-indicator,ba91c66bdde231b4bd92f72df411d283a15f5057,135,1
5845489,2,ant,https://github.com/hooddanielc/dynamite-media-player,hooddanielc/dynamite-media-player,2e906115d6bd30a4233e8fa5d43cbd50579683db,2490,0
12554704,6,ant|eclipse,https://github.com/alokomkar/DBFrontEnd,alokomkar/DBFrontEnd,ad5ea1da1dc0b44f58e89f74d5820cad411b0488,904,0
11994383,3,eclipse,https://github.com/friends-repository/photolicious,friends-repository/photolicious,32b8cf899d839117672b1b1e5f7d94ead9f8a23d,833,0
6034608,2,ant,https://github.com/hakurai/BacklogFX,hakurai/BacklogFX,9eff3ad7851a1e337df5f9e4522f571eaeaacfc4,62,0
7425253,2,ant,https://github.com/inventeam/orcaclient,inventeam/orcaclient,2e09352e0a9e4bbceac1582646fcb55c9dc7b8b3,409,0
7192109,4,idea|eclipse,https://github.com/svenlange/javasandbox,svenlange/javasandbox,746c1ea8edb6a5f5f9b770b921193ec6367305c3,66,0
5726599,20,eclipse|ant,https://github.com/AMITCCILGITHUB/MaterialRegister,AMITCCILGITHUB/MaterialRegister,df881415726508b7d7b1651aee3f50d8a4cf6d21,1373,0
3514615,3,eclipse|maven,https://github.com/JRebirth/JRebirth,JRebirth/JRebirth,b86aef46ba36329f9557b148d7ca8c298efa7f99,1419,59
3682491,9,ant,https://github.com/synthetos/tgFX,synthetos/tgFX,898b6831a126a78f0ee6eb598edd5e8ebb198e82,3513,45
9354371,1,eclipse,https://github.com/ireardon/cs32-final,ireardon/cs32-final,836c717bff36585cb9320d42209f5434019e4884,1353,-1
6857678,6,ant,https://github.com/tuxtor/jfocusboost,tuxtor/jfocusboost,a7e147915aaf5762eaaaa8c7d1efc065c6246d35,306,1
4529613,4,eclipse,https://github.com/etamponi/game,etamponi/game,c797c2d7099ffc4dcc7f6b586027c7476955bc7f,592,1
7214453,4,maven,https://github.com/fr1zle/gitfx,fr1zle/gitfx,93525a0b04c85977b4ca239e6e1922a2108301c1,1239,0
13259907,6,ant,https://github.com/incepttechnologies/Threading,incepttechnologies/Threading,9d4b6385e6a179cdf45baeaae4d9a542403d6c17,479,1
