id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
10572560,1,maven,https://github.com/CloudBees-community/glassfish4-clickstart,CloudBees-community/glassfish4-clickstart,f41e474d03d0f7c4cda8862199534a0d8cf05674,64,2
4367459,1,maven,https://github.com/Infolead/missile,Infolead/missile,bfaa8af6a7a807ff198a1d8edd8188f665782895,41,1
12642908,1,maven,https://github.com/gorefest/vehicledemo,gorefest/vehicledemo,88d4a04637594e8d44cce6a726074a35ae794f5b,84,0
3518204,3,ant|eclipse|maven,https://github.com/holisticon/ticket2rock,holisticon/ticket2rock,4d549a2ef219ec12efae630e2aafd6d93631ab32,1067,1
3398821,1,ant,https://github.com/nverinaud/SupinBank,nverinaud/SupinBank,ea3b25dd20d2599fd7c6424cdd35566dfc5cb3b4,120,1
1712494,1,maven,https://github.com/gbougeard/gbougeard-sandbox,gbougeard/gbougeard-sandbox,ce90688cf76cbcc65d76e54c5b82bb3123f4491c,2524,-1
4295011,1,eclipse|ant,https://github.com/wulfdj/testproj,wulfdj/testproj,db17244e1f9cc53859ee2ef6ed358eed4df900b9,50,1
6883479,4,maven,https://github.com/mmazi/jboss-ee,mmazi/jboss-ee,51d3df4b8675f47680ac7588c63b83a5bb345da4,140,0
13343738,1,gradle,https://github.com/peterpilgrim/javaee7-developer-handbook,peterpilgrim/javaee7-developer-handbook,cb4c2920773c7f25bc09f987d0e55c2ffc62d57e,93,19
4928169,1,ant,https://github.com/micromata/JUGH-2012-Adam-Bien,micromata/JUGH-2012-Adam-Bien,fd2e825d94a8ca3868d9c24cff8a7e022bfed2bd,35,3
11194069,1,maven,https://github.com/AdamBien/e2ftp,AdamBien/e2ftp,fa3ade23397069994f77b898f7310b3322e1f304,49,18
12895895,1,maven,https://github.com/vc-solution/cafepep,vc-solution/cafepep,e182687add77b8dafcdb9f4de843595247eabbcd,64,0
11462269,1,maven,https://github.com/wild-werewolf/workspace,wild-werewolf/workspace,93b0a2d758c4165e4f2e53dca7af6922a0ca44d6,59,0
2083055,4,maven,https://github.com/cdi-spec/cdi-tck,cdi-spec/cdi-tck,241156a53a3140c781e7bebbc3f6b2d5c10e258e,185,19
10477587,2,maven,https://github.com/fzymek/JavaEE,fzymek/JavaEE,206eda6d33dccd212535f82d9f10c90e32be6122,1560,-1
3890229,1,maven|ant,https://github.com/tuvd08/other,tuvd08/other,b7e42e62a2f6f23327f9c78e1cc5e183353083ed,38,-1
12182292,2,maven,https://github.com/khozzy/smokey,khozzy/smokey,35992aef1c573619b3966f7d6f07c3496ecc748e,64,-1
4718761,2,maven|ant,https://github.com/agoncal/agoncal-book-javaee6,agoncal/agoncal-book-javaee6,0fa73241cc32009573155501cff9c317d4820173,60,7
10708543,1,maven|idea,https://github.com/mpevec/blog,mpevec/blog,ceea30b85f8f4b1a3e629533dfab9fa602d44ee9,25,0
1623226,1,ant|eclipse,https://github.com/aknoxx/xyz2,aknoxx/xyz2,8b6d64f06a0c83eac6cbd058064aaf1a6b24e81e,398,1
10606785,2,maven|eclipse,https://github.com/schuay/distributed_systems_technologies,schuay/distributed_systems_technologies,42f349aac9e8a50c7bc2ba21b24fb7e505c1e62b,644,1
9553661,3,maven|ant|eclipse,https://github.com/dcreado/jbossas6,dcreado/jbossas6,8230db72d8afc0c70054c64c6f8e98037f03ae13,141,0
