id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
9341417,5,maven|eclipse,https://github.com/memo1012/swa,memo1012/swa,56cc0f0418cf5c5961a9f017e1870dd22778bd0d,1363,0
9769891,2,maven|eclipse,https://github.com/mema1018/swa,mema1018/swa,8897ce4eea548000b2d2b55b7ad6c676154a645e,914,0
3438153,22,maven|ant|eclipse|idea,https://github.com/wso2/commons,wso2/commons,df0ac4ca0311297605846bcff1a6c79a65590550,1625,9
13343738,3,gradle,https://github.com/peterpilgrim/javaee7-developer-handbook,peterpilgrim/javaee7-developer-handbook,cb4c2920773c7f25bc09f987d0e55c2ffc62d57e,1208,19
9242375,6,maven,https://github.com/juliensadaoui/devoxxfr2013-javaee7,juliensadaoui/devoxxfr2013-javaee7,4d8dd39d297c00ce86b396f728b4e4366a1351eb,333,1
6258090,1,maven,https://github.com/pengliaoye/exchange,pengliaoye/exchange,0cbab8e75675862ffd088ff75a2e397073cc58b7,109,0
9763525,10,ant,https://github.com/yoshioterada/ConcurrentUtil4EE,yoshioterada/ConcurrentUtil4EE,bb29c22490bc92a70fff594c7fee466a2a6c391e,672,4
12248184,2,maven|gradle|eclipse|ant,https://github.com/DouglasAllen/Java-projects,DouglasAllen/Java-projects,886c66b079ee2d9956e039080e22a64fa984cf6d,403,0
10791263,10,eclipse|maven|ant,https://github.com/ArianZhang/LearnInJava,ArianZhang/LearnInJava,e9fd81c5f8e8c76f44aeda6d42bd3f474dedf9ab,428,0
10937643,4,maven,https://github.com/nigl1011/swe,nigl1011/swe,8c54afd4c2a15b0ae230f94e6472f87b287b4558,1233,0
10840327,1,maven,https://github.com/aheusingfeld/java-concurrency-samples,aheusingfeld/java-concurrency-samples,1c940eae965a731b9ec2d619216542688cc99c96,47,3
13443863,11,,https://github.com/oradev/Java-EE-7-Recipes,oradev/Java-EE-7-Recipes,601da02c4c8e10f2061dee02e610b32376cfe9b6,539,-1
12338945,34,maven|ant,https://github.com/careermasud/JavaEE-7-Samples,careermasud/JavaEE-7-Samples,e5965016af714d48d1884f584c28bff44e9b7aff,2802,0
9327971,4,maven,https://github.com/paca1011/swa,paca1011/swa,8bd2a65d6f0119f8b4c40e456e4888131dc479f7,1324,0
12072385,2,ant,https://github.com/gscordeiro/livro-cdi,gscordeiro/livro-cdi,d664ef405b09fac98babba78dca93d36c665b31f,155,9
7748336,29,maven|ant|sbt|eclipse,https://github.com/apache/tomee,apache/tomee,71d1d868fb12eebe2cc828948f3087244ed946d5,1580,176
9371231,4,maven,https://github.com/arti1011/swa,arti1011/swa,d78d5a3c3eed32d415d40e0edd84f54aad4aca0b,1276,0
12414592,43,maven,https://github.com/arun-gupta/javaee7-samples,arun-gupta/javaee7-samples,6e2c428b5bc6b44121e15f6cb0f9f97d31b84ef5,4347,1834
13154026,2,eclipse|maven|ant|gradle,https://github.com/tashiscool/spring,tashiscool/spring,4ed53366a6f7f3cef96f64afcb9b5455bde49f6d,411,0
