id,numberOfASTs,revisionCommit,projectNames,buildTools,projectUrls,stars,numberOfRefs
1393059,21318,f936b12cc105165371f24526cd64847dcce9346d,grinner/Polonator,ant,https://github.com/grinner/Polonator,6,92
12395887,732,8ab6d6d06e4a2ebd9d613881078ccad2b822782a,ztchen89/demo,eclipse,https://github.com/ztchen89/demo,0,2
8995368,695,7b9a3fd05f44b1af60adde09c6dd47dccccb27c6,Gabelok/QAyukon,maven,https://github.com/Gabelok/QAyukon,-1,2
1217295,817,e5f2bf0ed9a285b6c5c3e894428f123d08cf5a7b,Darkhogg/Hazelnutt,,https://github.com/Darkhogg/Hazelnutt,1,2
7828713,340,221f2d9a4dd2df62413c412a59df8aa3aec94f51,BnMcG/Jeu,eclipse|ant,https://github.com/BnMcG/Jeu,-1,1
2546828,337,5714666cfe1da75f04d3263635373ed312dfed92,djbuen/bm,ant,https://github.com/djbuen/bm,1,1
6738494,998,9e1f91020a77ab19d4a833fa0de1d3032c1c5bc6,hoevenvd/java_for_weather,ant|eclipse|idea,https://github.com/hoevenvd/java_for_weather,2,4
4435088,829,59afca8a66ef964eb15462a393519dc80732bc69,hugebdu/jdt-refactored,maven,https://github.com/hugebdu/jdt-refactored,1,1
11877790,1515,13a2d83f85dbc0544f2474dc43d705de0ede2d87,embosfer/subsway,eclipse,https://github.com/embosfer/subsway,0,3
8832679,461,a7e9cd7bb6779d786f85e3eb7cef89942e458981,FabienInspiron/lifegame,,https://github.com/FabienInspiron/lifegame,0,1
5594364,2706,db8068f9f481b80c97653ce29717b3a9fb9f712c,Infernage/MineInstall,ant,https://github.com/Infernage/MineInstall,0,3
4433697,245,c2e0a77138445aed1805e33e99c529b8856af673,summitsystemsinc/netbeans-opc-browser,maven,https://github.com/summitsystemsinc/netbeans-opc-browser,2,4
9706291,1144,f13aca88698dc2e1ed554c85cf19a58b05593310,lexn82/simplex3d,ant,https://github.com/lexn82/simplex3d,28,4
11835589,1114,4f7f1162bce62ef83a4202e61e633ef126b1b001,raymanan/GameOfLife,eclipse,https://github.com/raymanan/GameOfLife,0,2
5492238,2236,1a55198caeebaed66be94738c9faae80a8508686,cyberdash/fast-nbody,eclipse|ant,https://github.com/cyberdash/fast-nbody,1,5
3010630,107,ee220baac19a67ca7ce005506b969dac3f4b8a8a,jbosstm/narayana,maven|ant|eclipse,https://github.com/jbosstm/narayana,72,1
12610293,1107,37dd88d33d1ddc9e0eed8dbc2f6128287bba6363,aztechian/Send2Flickr,eclipse,https://github.com/aztechian/Send2Flickr,1,1
10934841,307,3167538e407044627dce568bf483238d67bd1d97,sen-sukumar/GIMS,ant,https://github.com/sen-sukumar/GIMS,0,1
1380846,642,ecfc095a10a60ee79652f629f5d4831ea63aec48,srz/RedisClient4Java,eclipse,https://github.com/srz/RedisClient4Java,4,6
8986531,236,64477b8d79fdc09bbb85210a6274d7a8050cf996,raffaeleragni/rssreader,maven,https://github.com/raffaeleragni/rssreader,0,2
